eventId,timeInPeriod,timeRemaining,typeCode,typeDescKey,sortOrder,game_id,situationCode,homeTeamDefendingSide,pptReplayUrl,period_number,period_periodType,period_maxRegulationPeriods,period_otPeriods,detail_eventOwnerTeamId,detail_losingPlayerId,detail_winningPlayerId,detail_xCoord,detail_yCoord,detail_reason,detail_playerId,detail_shotType,detail_shootingPlayerId,detail_goalieInNetId,detail_awaySOG,detail_homeSOG,detail_hittingPlayerId,detail_hitteePlayerId,detail_blockingPlayerId,detail_scoringPlayerId,detail_scoringPlayerTotal,detail_assist1PlayerId,detail_assist1PlayerTotal,detail_assist2PlayerId,detail_assist2PlayerTotal,detail_awayScore,detail_homeScore,detail_secondaryReason,detail_typeCode,detail_descKey,detail_duration,detail_committedByPlayerId,detail_drawnByPlayerId,detail_servedByPlayerId,detail_zoneCode,detail_discreteClip,detail_highlightClipSharingUrl,detail_highlightClip,detail_highlightClipSharingUrlFr,detail_highlightClipFr,detail_discreteClipFr
5,00:00,00:00,520,period-start,5,2010010003,,,,1,REG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,00:00,00:00,502,faceoff,6,2010010003,,,,1,REG,3,,11.0,8468001.0,8475788.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,00:22,00:00,516,stoppage,7,2010010003,,,,1,REG,3,,,,,,,puck-in-netting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,00:22,00:00,502,faceoff,10,2010010003,,,,1,REG,3,,11.0,8471663.0,8473412.0,-68.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,00:40,00:00,525,takeaway,11,2010010003,,,,1,REG,3,,11.0,,,-92.0,-23.0,,8473459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,01:02,00:00,525,takeaway,15,2010010003,,,,1,REG,3,,29.0,,,-62.0,-33.0,,8469685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01:04,00:00,506,shot-on-goal,16,2010010003,,,,1,REG,3,,29.0,,,-39.0,-18.0,,,wrist,9000002.0,8471715.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,01:11,00:00,516,stoppage,18,2010010003,,,,1,REG,3,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01:11,00:00,502,faceoff,19,2010010003,,,,1,REG,3,,29.0,8473417.0,8469685.0,-68.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01:19,00:00,506,shot-on-goal,20,2010010003,,,,1,REG,3,,29.0,,,-32.0,18.0,,,wrist,8470317.0,8471715.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
55,01:20,00:00,516,stoppage,21,2010010003,,,,1,REG,3,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01:20,00:00,502,faceoff,24,2010010003,,,,1,REG,3,,29.0,8470321.0,8466300.0,-69.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,01:24,00:00,507,missed-shot,25,2010010003,,,,1,REG,3,,29.0,,,-34.0,5.0,wide-of-net,,,8467915.0,8471715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,01:39,00:00,503,hit,26,2010010003,,,,1,REG,3,,11.0,,,-37.0,-37.0,,,,,,,,8474146.0,8471765.0,,,,,,,,,,,,,,,,,,,,,,,
57,01:48,00:00,503,hit,27,2010010003,,,,1,REG,3,,11.0,,,-92.0,27.0,,,,,,,,8470321.0,8466300.0,,,,,,,,,,,,,,,,,,,,,,,
58,02:11,00:00,503,hit,31,2010010003,,,,1,REG,3,,11.0,,,92.0,31.0,,,,,,,,8475169.0,8470760.0,,,,,,,,,,,,,,,,,,,,,,,
14,02:14,00:00,508,blocked-shot,32,2010010003,,,,1,REG,3,,11.0,,,71.0,6.0,,,,8470618.0,,,,,,8470618.0,,,,,,,,,,,,,,,,,,,,,,
15,02:23,00:00,507,missed-shot,33,2010010003,,,,1,REG,3,,11.0,,,35.0,18.0,over-net,,,8473459.0,8470263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,02:33,00:00,503,hit,34,2010010003,,,,1,REG,3,,29.0,,,-95.0,25.0,,,,,,,,8473432.0,8473459.0,,,,,,,,,,,,,,,,,,,,,,,
16,02:37,00:00,507,missed-shot,36,2010010003,,,,1,REG,3,,29.0,,,-73.0,-5.0,over-net,,,8468001.0,8471715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,02:35,00:00,504,giveaway,37,2010010003,,,,1,REG,3,,11.0,,,-94.0,22.0,,8473459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,02:49,00:00,504,giveaway,38,2010010003,,,,1,REG,3,,11.0,,,-94.0,-25.0,,8473459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,02:59,00:00,507,missed-shot,40,2010010003,,,,1,REG,3,,29.0,,,-59.0,-19.0,wide-of-net,,,8468001.0,8471715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,03:13,00:00,503,hit,43,2010010003,,,,1,REG,3,,29.0,,,-14.0,33.0,,,,,,,,8473542.0,8473417.0,,,,,,,,,,,,,,,,,,,,,,,
63,03:24,00:00,503,hit,44,2010010003,,,,1,REG,3,,29.0,,,-42.0,36.0,,,,,,,,8473542.0,8474624.0,,,,,,,,,,,,,,,,,,,,,,,
64,03:28,00:00,516,stoppage,45,2010010003,,,,1,REG,3,,,,,,,high-stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,03:28,00:00,502,faceoff,48,2010010003,,,,1,REG,3,,11.0,8469685.0,8473412.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,03:32,00:00,504,giveaway,49,2010010003,,,,1,REG,3,,11.0,,,-37.0,-31.0,,8472338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,03:35,00:00,508,blocked-shot,50,2010010003,,,,1,REG,3,,29.0,,,-75.0,-13.0,,,,8475926.0,,,,,,8475926.0,,,,,,,,,,,,,,,,,,,,,,
20,03:42,00:00,508,blocked-shot,51,2010010003,,,,1,REG,3,,29.0,,,-62.0,6.0,,,,8467915.0,,,,,,8467915.0,,,,,,,,,,,,,,,,,,,,,,
